優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
飄香牛肉麵,臺北市大同區寧夏路12號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
香連鐵板料理,臺北市大同區寧夏路16號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
潮社冰品,臺北市大同區寧夏路22-6號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
干單食堂,臺北市大同區寧夏路22之7號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
兩桶半米苔目,臺北市大同區寧夏路30-3號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
甘記刨冰燒仙草,臺北市大同區寧夏路30-4號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
曾家鮮果汁,臺北市大同區寧夏路36號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
環記麻油雞,臺北市大同區寧夏路44號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
圓環邊蚵仔煎,臺北市大同區寧夏路46號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
龍傳客家放山雞,臺北市大同區寧夏路50號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
郭董藥膳排骨,臺北市大同區寧夏路58號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
鬍鬚張魯肉飯,臺北市大同區寧夏路62號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
蔣記豬血糕麻辣魚蛋炸鮮奶棒,臺北市大同區寧夏夜市,自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
越春真越式傳統牛肉河粉,臺北市大同區重慶北路二段57巷19號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
雞房重地脆皮鹽水雞,臺北市大同區民生西路202號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
純鮮奶雞蛋糕,臺北市大同區寧夏路56-38號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
蔡家火雞肉飯,臺北市大同區寧夏路48號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
胖阿姨廣東粥,臺北市士林區天母北路23號,自備餐盒,贈送餐飲,送一包油條
龍城盒餐,臺北市中正區金門街8號之1,自備餐盒,折價,折價5元
圓環頂蚵仔煎,臺北市信義區吳興街269巷5號,自備餐盒,折價,折價5元
楊記拌麵,臺北市內湖區成功路二段325號B1樓(微風三總商店街),自備餐盒、自備筷子或湯匙或刀叉,折價,折價10元
老董牛肉麵,臺北市內湖區成功路二段325號,自備餐盒,折價,自備餐盒，折價8元
